번호,Root계정ID,Root닉네임,멤버ID,멤버닉네임,국가,소속라인,Root로부터레벨,직접상위ID,직급,패키지,투자금($),가입일,직접추천수당(1회/$),롤업적용여부(BlueD=3레벨),월롤업기여금($),연롤업기여금($),비고
239,LR-LIM-009,Lim_Eagle23,LIM-D1,CN_Bai_D,🇨🇳,Line1,1,LR-LIM-009,White Dragon,Basic,200,2025-04-01,20,NO(White Dragon),0,0,직접추천
240,LR-LIM-009,Lim_Eagle23,LIM-D2,CN_Yuan_D,🇨🇳,Line2,1,LR-LIM-009,White Dragon,Basic,200,2025-04-06,20,NO(White Dragon),0,0,직접추천
241,LR-LIM-009,Lim_Eagle23,LIM-D3,KR_Jeon_D,🇰🇷,Line3,1,LR-LIM-009,White Dragon,Basic,200,2025-04-11,20,NO(White Dragon),0,0,직접추천
242,LR-LIM-009,Lim_Eagle23,LIM-D4,VN_Tran_D,🇻🇳,Line4,1,LR-LIM-009,White Dragon,Basic,200,2025-04-16,20,NO(White Dragon),0,0,직접추천
243,LR-KOT-010,Ko_Titan45,KOT-D1,CN_Ren_D,🇨🇳,Line1,1,LR-KOT-010,White Dragon,Basic,200,2025-04-06,20,NO(White Dragon),0,0,직접추천
244,LR-KOT-010,Ko_Titan45,KOT-D2,CN_Deng_D,🇨🇳,Line2,1,LR-KOT-010,White Dragon,Basic,200,2025-04-11,20,NO(White Dragon),0,0,직접추천
245,LR-KOT-010,Ko_Titan45,KOT-D3,KR_Lim_D,🇰🇷,Line3,1,LR-KOT-010,White Dragon,Basic,200,2025-04-16,20,NO(White Dragon),0,0,직접추천
,,,,,,,,,,,,,,,,,
=== 수당 체계 요약 ===,,,,,,,,,,,,,,,,,
구분,내용,비고,,,,,,,,,,,,,,,
직접추천수당,패키지금액 × 10% (1회성),하부가 가입할 때 즉시 지급,,,,,,,,,,,,,,,
롤업수당,하부 일일수익 × 10%,Blue Dragon = 3레벨 / Purple = 7레벨 / Red = 15레벨 / Black = 25레벨,,,,,,,,,,,,,,,
롤업 계산 예시 (Blue Dragon),,,,,,,,,,,,,,,,,
Level 1 Blue Dragon (Standard $500),월 수익 $45 × 10% = $4.50/월,연 $54,,,,,,,,,,,,,,,
Level 2 White Dragon (Basic $200),월 수익 $18 × 10% = $1.80/월,연 $21.60,,,,,,,,,,,,,,,
Level 3 White Dragon (Basic $200),월 수익 $18 × 10% = $1.80/월,연 $21.60,,,,,,,,,,,,,,,
Level 4+ (Blue Dragon 미적용),$0/월,Purple Dragon부터 적용됨,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=== 전체 집계 (V8.8 현실감 재설계) ===,,,,,,,,,,,,,,,,,
총 생성 멤버 수,245명 (주계정 제외 / 참고용 근사치),,,,,,,,,,,,,,,,
주계정 수,10개 (Blue Dragon 3개 + White Dragon 7개),,,,,,,,,,,,,,,,
전체 합계,255개 계정,,,,,,,,,,,,,,,,
※ 정확한 데이터,03_referral_tree.sql 기준 (220명),실제 DB 삽입은 SQL 파일 사용,,,,,,,,,,,,,,,
직급 분포,Blue Dragon: Kim/Lee/Park / White Dragon: Choi~Ko,V8.8 현실감 방향A 채택,,,,,,,,,,,,,,,
USDT 계산 근거,일일수익 + 직추천 + 롤업(Blue만) / White Dragon은 롤업 없음,인출 없음 기준,,,,,,,,,,,,,,,
